Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
java-client,io.appium.java_client.android,AndroidBatteryInfo.BatteryState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,AndroidBatteryInfo.BatteryState,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android,AndroidDriver,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StartsActivity; HasAndroidSettings; HasAndroidDeviceDetails; HasSupportedPerformanceDataType; AuthenticatesByFinger; SupportsSpecialEmulatorCommands; SupportsNetworkStateManagement; ListensToLogcatMessages; HasAndroidClipboard; CanReplaceElementValue; SupportsGpsStateManagement; HasNotifications
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
java-client,io.appium.java_client.android,AndroidStartScreenRecordingOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android,AndroidStopScreenRecordingOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android,AndroidTouchAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android,GsmCallActions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,GsmSignalStrength,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,GsmVoiceState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,NetworkSpeed,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,PowerACState,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
java-client,io.appium.java_client.android,AndroidAbilityToUseSupplierTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidActivityTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidAppStringsTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidConnectionTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidContextTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidDataMatcherTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseEspressoTest
java-client,io.appium.java_client.android,AndroidDriverTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidDriverTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 28 public methods
java-client,io.appium.java_client.android,AndroidElementTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidFunctionTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidScreenRecordTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidSearchingTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidTouchTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,AndroidViewMatcherTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseEspressoTest
java-client,io.appium.java_client.android,BaseAndroidTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: APP_ID; PORT; service; driver
java-client,io.appium.java_client.android,BaseAndroidTest,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: AndroidAbilityToUseSupplierTest; AndroidActivityTest; AndroidAppStringsTest; AndroidConnectionTest; AndroidContextTest; AndroidDriverTest; AndroidElementTest; AndroidFunctionTest; AndroidLogcatListenerTest; AndroidScreenRecordTest; AndroidSearchingTest; AndroidTouchTest; BatteryTest; ClipboardTest; ExecuteDriverScriptTest; ImagesComparisonTest; KeyCodeTest; LogEventTest; OpenNotificationsTest; SettingTest; UIAutomator2Test
java-client,io.appium.java_client.android,BaseEspressoTest,Feature Envy,The tool detected a instance of this smell because beforeClass is more interested in members of the type: AppiumDriverLocalService
java-client,io.appium.java_client.android,BatteryTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,ClipboardTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,FingerPrintTest,Feature Envy,The tool detected a instance of this smell because beforeClass is more interested in members of the type: AppiumDriverLocalService
java-client,io.appium.java_client.android,ImagesComparisonTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,IntentTest,Feature Envy,The tool detected a instance of this smell because beforeClass is more interested in members of the type: AppiumDriverLocalService
java-client,io.appium.java_client.android,KeyCodeTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,LogEventTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,OpenNotificationsTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,SettingTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android,UIAutomator2Test,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseAndroidTest
java-client,io.appium.java_client.android.appmanagement,AndroidInstallApplicationOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.appmanagement,AndroidRemoveApplicationOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.appmanagement,AndroidTerminateApplicationOptions,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.connection,ConnectionState,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AIRPLANE_MODE_MASK; WIFI_MASK; DATA_MASK; bitMask
java-client,io.appium.java_client.android.connection,ConnectionStateBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.connection,HasNetworkConnection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.geolocation,SupportsExtendedGeolocationCommands,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.nativekey,AndroidKey,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: code
java-client,io.appium.java_client.android.nativekey,KeyEventFlag,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
java-client,io.appium.java_client.android.nativekey,KeyEventMetaModifier,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value
java-client,io.appium.java_client.android.nativekey,PressesKey,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.adb,SupportsAdbExecTimeoutOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.adb,SupportsAdbPortOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.adb,SupportsAllowDelayAdbOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
java-client,io.appium.java_client.android.options.adb,SupportsBuildToolsVersionOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
