Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
java-client,io.appium.java_client.android,AndroidActivityTest,startActivityInNewAppTestCase,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidActivityTest,startActivityInNewAppTestCaseWithoutClosingApp,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidConnectionTest,test2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
java-client,io.appium.java_client.android,AndroidConnectionTest,test3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidContextTest,testSwitchContext,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidDriverTest,sendSMSTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,gsmCallTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,toggleWiFi,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,toggleAirplane,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,toggleData,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,gsmSignalStrengthTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,gsmVoiceTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,networkSpeedTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,powerTest,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
java-client,io.appium.java_client.android,AndroidDriverTest,toggleLocationServicesTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
java-client,io.appium.java_client.android,AndroidDriverTest,geolocationTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
java-client,io.appium.java_client.android,AndroidDriverTest,orientationTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidDriverTest,lockTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidDriverTest,runAppInBackgroundTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
java-client,io.appium.java_client.android,AndroidDriverTest,testApplicationsManagement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidDriverTest,pullFileTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
java-client,io.appium.java_client.android,AndroidDriverTest,resetTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
java-client,io.appium.java_client.android,AndroidDriverTest,deviceDetailsAndKeyboardTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidDriverTest,getSupportedPerformanceDataTypesTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidElementTest,findByAccessibilityIdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidElementTest,findByAndroidUIAutomatorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidElementTest,replaceValueTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPreCondition,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPostConditions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,verifyLogcatListenerCanBeAssigned,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
java-client,io.appium.java_client.android,AndroidSearchingTest,findByAccessibilityIdTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
java-client,io.appium.java_client.android,AndroidSearchingTest,findByAndroidUIAutomatorTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
java-client,io.appium.java_client.android,AndroidSearchingTest,findByXPathTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
