Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number,The method contains a magic number: 2,13
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number,The method contains a magic number: 3,13
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number,The method contains a magic number: 4,13
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number,The method contains a magic number: 5,13
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1ba42d86,13
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,startActivityCommand,Long Parameter List,The method has 9 parameters. ,195
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,startActivityCommand,Long Statement,The length of the statement "checkArgument((!StringUtils.isBlank(appPackage) && !StringUtils.isBlank(appActivity))`String.format("'%s' and '%s' are required."`"appPackage"`"appActivity"));" is 159.,195
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,startActivityCommand,Long Statement,The length of the statement "ImmutableMap<String`?> parameters=ImmutableMap.<String`Object>builder().put("appPackage"`appPackage).put("appActivity"`appActivity).put("appWaitPackage"`targetWaitPackage).put("appWaitActivity"`targetWaitActivity).put("dontStopAppOnReset"`!stopApp).put("intentAction"`targetIntentAction).put("intentCategory"`targetIntentCategory).put("intentFlags"`targetIntentFlags).put("optionalIntentArguments"`targetOptionalIntentArguments).build();" is 437.,195
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,sendSMSCommand,Long Statement,The length of the statement "ImmutableMap<String`?> parameters=ImmutableMap.<String`Object>builder().put("phoneNumber"`phoneNumber).put("message"`message).build();" is 134.,283
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,gsmSignalStrengthCommand,Long Statement,The length of the statement "return new AbstractMap.SimpleEntry<>(GSM_SIGNAL`prepareArguments(new String[]{"signalStrengh"`"signalStrength"}`new Object[]{gsmSignalStrength.ordinal()`gsmSignalStrength.ordinal()}));" is 184.,320
java-client,io.appium.java_client.android,AuthenticatesByFinger,fingerPrint,Long Statement,The length of the statement "CommandExecutionHelper.executeScript(assertExtensionExists(extName)`extName`ImmutableMap.of("fingerprintId"`fingerPrintId));" is 124.,13
java-client,io.appium.java_client.android,CanReplaceElementValue,replaceElementValue,Long Statement,The length of the statement "CommandExecutionHelper.executeScript(assertExtensionExists(extName)`extName`ImmutableMap.of("elementId"`element.getId()`"text"`value));" is 135.,14
java-client,io.appium.java_client.android,CanReplaceElementValue,replaceElementValue,Long Statement,The length of the statement "CommandExecutionHelper.execute(markExtensionAbsence(extName)`new AbstractMap.SimpleEntry<>(MobileCommand.REPLACE_VALUE`ImmutableMap.of("id"`element.getId()`"text"`value`"value"`value)));" is 186.,14
java-client,io.appium.java_client.android,HasAndroidClipboard,setClipboard,Long Statement,The length of the statement "Object[] values=new Object[]{new String(checkNotNull(base64Content)`StandardCharsets.UTF_8)`contentType.name().toLowerCase()`checkNotNull(label)};" is 146.,32
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,getPerformanceData,Long Statement,The length of the statement "return CommandExecutionHelper.executeScript(assertExtensionExists(extName)`extName`ImmutableMap.of("packageName"`packageName`"dataType"`dataType));" is 147.,35
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,getPerformanceData,Long Statement,The length of the statement "return CommandExecutionHelper.execute(markExtensionAbsence(extName)`getPerformanceDataCommand(packageName`dataType`dataReadTimeout));" is 133.,35
java-client,io.appium.java_client.android,ListensToLogcatMessages,startLogcatBroadcast,Long Statement,The length of the statement "endpointUri=new URI(String.format("ws://%s:%s/ws/session/%s/appium/device/logcat"`host`port`((RemoteWebDriver)this).getSessionId()));" is 133.,52
