Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
java-client,io.appium.java_client.android,BaseAndroidTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APP_ID
java-client,io.appium.java_client.android.connection,ConnectionState,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AIRPLANE_MODE_MASK; WIFI_MASK; DATA_MASK
java-client,io.appium.java_client.android.options.server,EspressoBuildConfig,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TOOLS_VERSION; ADDITIONAL_APP_DEPENDENCIES; ADDITIONAL_ANDROID_TEST_DEPENDENCIES
java-client,io.appium.java_client,AppiumBy.ByAccessibilityId,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByAndroidDataMatcher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByAndroidUIAutomator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByAndroidViewMatcher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByAndroidViewTag,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ById,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByName,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByClassName,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByCustom,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByImage,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByIosClassChain,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumBy.ByIosNsPredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumDriver,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
java-client,io.appium.java_client,AppiumFluentWait.IterationInfo,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,AppiumUserAgentFilter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VERSION_KEY; USER_AGENT
java-client,io.appium.java_client,ErrorCodesMobile,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NO_SUCH_CONTEXT
java-client,io.appium.java_client,MobileBy.ByAndroidUIAutomator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByAccessibilityId,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByIosClassChain,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByAndroidDataMatcher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByAndroidViewMatcher,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByIosNsPredicate,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByWindowsAutomation,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
java-client,io.appium.java_client,MobileBy.ByImage,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
