Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
java-client,io.appium.java_client.android,Activity,9,0,1,1,26,1,0,0,0.0,12,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\Activity.java,9
java-client,io.appium.java_client.android,AndroidBatteryInfo,0,0,2,2,0,6,0,0,-1.0,2,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidBatteryInfo.java,7
java-client,io.appium.java_client.android,AndroidBatteryInfo.BatteryState,0,0,0,0,1,0,0,0,-1.0,0,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidBatteryInfo.java,31
java-client,io.appium.java_client.android,AndroidDriver,2,0,16,16,126,17,0,1,0.3125,6,6,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidDriver.java,55
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,0,0,26,26,234,26,0,0,-1.0,0,5,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidMobileCommandHelper.java,29
java-client,io.appium.java_client.android,AndroidStartScreenRecordingOptions,3,0,7,7,56,7,0,0,0.5714285714285714,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidStartScreenRecordingOptions.java,28
java-client,io.appium.java_client.android,AndroidStopScreenRecordingOptions,0,0,1,1,5,1,0,0,-1.0,0,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidStopScreenRecordingOptions.java,21
java-client,io.appium.java_client.android,AndroidTouchAction,0,0,1,1,9,1,0,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AndroidTouchAction.java,23
java-client,io.appium.java_client.android,AuthenticatesByFinger,0,0,1,0,15,1,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\AuthenticatesByFinger.java,11
java-client,io.appium.java_client.android,CanReplaceElementValue,0,0,1,0,16,1,1,0,-1.0,0,2,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\CanReplaceElementValue.java,13
java-client,io.appium.java_client.android,GsmCallActions,0,0,0,0,1,0,0,0,-1.0,3,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\GsmCallActions.java,3
java-client,io.appium.java_client.android,GsmSignalStrength,0,0,0,0,1,0,0,0,-1.0,3,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\GsmSignalStrength.java,3
java-client,io.appium.java_client.android,GsmVoiceState,0,0,0,0,1,0,0,0,-1.0,3,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\GsmVoiceState.java,3
java-client,io.appium.java_client.android,HasAndroidClipboard,0,0,2,0,21,2,1,0,-1.0,0,2,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\HasAndroidClipboard.java,31
java-client,io.appium.java_client.android,HasAndroidDeviceDetails,0,0,2,0,28,2,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\HasAndroidDeviceDetails.java,13
java-client,io.appium.java_client.android,HasAndroidSettings,0,0,13,0,106,13,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\HasAndroidSettings.java,24
java-client,io.appium.java_client.android,HasNotifications,0,0,1,0,14,1,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\HasNotifications.java,10
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,0,0,2,0,31,2,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\HasSupportedPerformanceDataType.java,14
java-client,io.appium.java_client.android,ListensToLogcatMessages,0,0,10,0,73,10,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\ListensToLogcatMessages.java,30
java-client,io.appium.java_client.android,NetworkSpeed,0,0,0,0,1,0,0,0,-1.0,3,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\NetworkSpeed.java,3
java-client,io.appium.java_client.android,PowerACState,0,0,0,0,1,0,0,0,-1.0,3,0,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\PowerACState.java,3
java-client,io.appium.java_client.android,StartsActivity,0,0,3,0,36,3,1,0,-1.0,0,2,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\StartsActivity.java,33
java-client,io.appium.java_client.android,SupportsGpsStateManagement,0,0,2,0,21,2,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\SupportsGpsStateManagement.java,11
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,0,0,3,0,41,3,1,0,-1.0,0,1,C:\Users\nidus\Desktop\assignment3import\.\java-client\src\main\java\io\appium\java_client\android\SupportsNetworkStateManagement.java,16
